crossover_rate_subtree,crossover_rate_node_level,mutation_rate,tournament_size,experiment,generation,test_score,population
0.5,0.1,0.4,8,2,11,-1074.6716700105324,40
0.5,0.1,0.4,8,2,12,-632.4430825463886,40
0.5,0.1,0.4,8,2,13,-632.4430825463886,40
0.5,0.1,0.4,8,2,14,-875.2602661927289,40
0.5,0.1,0.4,8,2,15,-1075.9949408655334,40
0.5,0.1,0.4,8,2,16,-1075.9949408655334,40
0.5,0.1,0.4,8,2,17,156.00446989591006,40
0.5,0.1,0.4,8,2,18,-264.2486587975101,40
0.5,0.1,0.4,8,2,19,115.25439095648849,40
0.5,0.1,0.4,8,2,20,-178.36086261166145,40
0.5,0.1,0.4,8,2,21,-303.8330892360593,40
0.5,0.1,0.4,8,2,22,115.25439095648849,40
0.5,0.1,0.4,8,2,23,-178.36086261166145,40
0.5,0.1,0.4,8,2,24,-435.2521051688808,40
0.5,0.1,0.4,8,2,25,34.107203274001506,40
0.5,0.1,0.4,8,3,0,-1391.9509075312722,40
0.5,0.1,0.4,8,3,1,-1391.9509075312722,40
0.5,0.1,0.4,8,3,2,-1391.9509075312722,40
0.5,0.1,0.4,8,3,3,-1406.4390068502848,40
0.5,0.1,0.4,8,3,4,-1391.9509075312722,40
0.5,0.1,0.4,8,3,5,-801.4780964187378,40
0.5,0.1,0.4,8,3,6,-801.4780964187378,40
0.5,0.1,0.4,8,3,7,-1061.6859534775128,40
0.5,0.1,0.4,8,3,8,-798.2201012085939,40
0.5,0.1,0.4,8,3,9,-801.4780964187378,40
0.5,0.1,0.4,8,3,10,-802.4787256335267,40
0.5,0.1,0.4,8,3,11,-798.2201012085939,40
0.5,0.1,0.4,8,3,12,-798.2201012085939,40
0.5,0.1,0.4,8,3,13,-801.4780964187378,40
0.5,0.1,0.4,8,3,14,-791.3574855578146,40
0.5,0.1,0.4,8,3,15,-791.3574855578146,40
0.5,0.1,0.4,8,3,16,-800.6163581077096,40
0.5,0.1,0.4,8,3,17,-798.2201012085939,40
0.5,0.1,0.4,8,3,18,-1135.628655225436,40
0.5,0.1,0.4,8,3,19,-767.0391239622068,40
0.5,0.1,0.4,8,3,20,-767.0391239622068,40
0.5,0.1,0.4,8,3,21,-762.6572975061395,40
0.5,0.1,0.4,8,3,22,-652.833200380263,40
0.5,0.1,0.4,8,3,23,-765.8537083200795,40
0.5,0.1,0.4,8,3,24,-652.833200380263,40
0.5,0.1,0.4,8,3,25,-652.833200380263,40
0.5,0.1,0.4,8,4,0,-1585.863082519462,40
0.5,0.1,0.4,8,4,1,-1391.9509075312722,40
0.5,0.1,0.4,8,4,2,-1386.4844141597011,40
0.5,0.1,0.4,8,4,3,-1409.6897079845962,40
0.5,0.1,0.4,8,4,4,-1392.4777699036558,40
0.5,0.1,0.4,8,4,5,-481.30683111912515,40
0.5,0.1,0.4,8,4,6,-481.30683111912515,40
0.5,0.1,0.4,8,4,7,-481.30683111912515,40
0.5,0.1,0.4,8,4,8,-379.6131137182532,40
0.5,0.1,0.4,8,4,9,-379.6131137182532,40
0.5,0.1,0.4,8,4,10,-613.4976319461684,40
0.5,0.1,0.4,8,4,11,-379.6131137182532,40
0.5,0.1,0.4,8,4,12,-613.4976319461684,40
0.5,0.1,0.4,8,4,13,-397.5668987791103,40
0.5,0.1,0.4,8,4,14,-406.4315553614233,40
0.5,0.1,0.4,8,4,15,-385.788044250952,40
0.5,0.1,0.4,8,4,16,-397.5668987791103,40
0.5,0.1,0.4,8,4,17,-397.5668987791103,40
0.5,0.1,0.4,8,4,18,-397.5668987791103,40
0.5,0.1,0.4,8,4,19,-440.54098809430974,40
