Crossover Rate,Mutation Rate,Run,Time (s),Test Score
0.7,0.4,1,445.938566,-851.8593331214148
0.7,0.4,2,471.620419,-867.9360486108781
0.7,0.4,3,716.186147,-289.7972269795459
0.7,0.4,4,572.017817,602.8493730529249
0.7,0.5,0,533.007798,-476.0587916204571
0.7,0.5,1,351.190986,-1399.2248694284483
0.7,0.5,2,381.664516,-946.8849088140046
0.7,0.5,3,615.778115,-169.78154305096672
0.7,0.5,4,432.502673,-116.06848313732092
0.8,0.1,0,435.953727,-540.9025955730917
0.8,0.1,1,491.676333,-176.67561986138435
0.8,0.1,2,540.498349,-251.5872443860432
0.8,0.1,3,402.026174,-448.4894502044827
0.8,0.1,4,363.764855,-887.8794523440215
0.8,0.2,0,445.04287,-1110.9067139231681
0.8,0.2,1,377.238633,137.39357623407892
0.8,0.2,2,511.376076,-884.0206752852366
0.8,0.2,3,630.140952,-636.6370030812001
0.8,0.2,4,437.576352,-106.51467526708689
0.8,0.3,0,404.250986,-397.63435493504284
0.8,0.3,1,396.393014,-437.0805709653253
0.8,0.3,2,483.152751,-565.4017398135368
0.8,0.3,3,509.920739,-379.8530724220949
0.8,0.3,4,523.50703,1116.592329099155
0.8,0.4,0,650.176449,-196.56907840413078
0.8,0.4,1,466.376453,352.43738460255094
0.8,0.4,2,789.974898,-360.42081637929897
0.8,0.4,3,588.344522,0.7714149848957277
0.8,0.4,4,523.146379,174.3269371830816
0.8,0.5,0,488.783219,-1799.2914130955437
0.8,0.5,1,542.538358,-860.3633288392328
0.8,0.5,2,418.860855,-1228.2659565639356
0.8,0.5,3,472.503464,-865.5879691589295
0.8,0.5,4,438.881869,230.35787056236367
