Population Size,Avg Time (seconds),Avg Test Score,Avg Score per Second
16,61.682143399999994,-1067.91769501331,-17.313239069660966
32,156.189547,-1124.189241457126,-7.197595889417145
48,236.071033,-959.0095038266115,-4.062376868688551
64,299.7784636,-678.291469574771,-2.262642424106316
128,829.8159066000001,-471.9596773505397,-0.5687522661312886
