Mutation Rate,Avg Time (seconds),Avg Test Score,Avg Score per Second
0.25,68.94716400000001,-2440.8663122704656,-35.40198277438163
0.5,70.8114928,-2277.440255272954,-32.162014458660785
0.75,68.5784606,-2297.049477621964,-33.49520326826881
0.9,71.6575188,-3429.604381159592,-47.861054060939544
