Crossover Rate,Avg Time (seconds),Avg Test Score,Avg Score per Second
0.25,74.4136434,-2437.867755295152,-32.76103203535862
0.5,67.152543,-2719.2792356493133,-40.4940619396843
0.75,66.2590946,-2317.562456493591,-34.97727324051891
0.9,64.83270580000001,-3193.736650578527,-49.26119635405571
