Generations,Avg Time (seconds),Avg Test Score,Avg Score per Second
10,37.594613200000005,-1511.632892693263,-40.208763012177045
25,83.2255724,-1091.8500034190251,-13.119164842403956
50,164.0180188,-1052.7565647808292,-6.418542136303558
100, 366.94098940000003, -986.3374790456248, -2.688000271265483
